id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36720,"Beautiful 2 rooms flat, Glockenbach",158413,Gabriela,,Ludwigsvorstadt-Isarvorstadt,48.13057,11.56929,Entire home/apt,95,2,25,2017-07-22,0.40,1,0
97945,Deluxw-Apartm. with roof terrace,517685,Angelika,,Hadern,48.11476,11.48782,Entire home/apt,80,2,124,2019-06-06,1.32,1,290
114695,Apartment Munich/East with sundeck,581737,Stephan,,Berg am Laim,48.11923,11.63726,Entire home/apt,95,1,47,2018-10-10,0.48,3,132
127383,City apartment next to Pinakothek,630556,Sonja,,Maxvorstadt,48.15198,11.56486,Entire home/apt,120,2,80,2019-06-10,0.82,2,0
159634,"Fancy, bright central roof top flat",765694,Sanna,,Pasing-Obermenzing,48.13898,11.46612,Entire home/apt,55,2,28,2019-05-28,0.29,1,0
170154,"Own floor & bath, parking & breakfast",108297,Alex,,Sendling-Westpark,48.10751,11.52733,Private room,55,2,438,2019-06-15,4.64,1,151
171749,1min to subway - Wettersteinplatz,819382,Tarek,,Untergiesing-Harlaching,48.10583,11.57843,Private room,50,2,293,2019-06-04,3.05,1,53
172672,Cozy guest room in high-end flat.,823913,Karin,,Schwabing-West,48.1637,11.56469,Private room,54,1,187,2019-06-15,3.00,2,0
172977,Beautiful room close to centre,825767,Daniela,,Maxvorstadt,48.14816,11.55449,Private room,67,2,80,2019-06-02,0.93,1,96
178114,Cozy Studio Apt in Central Munich,189876,Markus,,Maxvorstadt,48.15341,11.57267,Entire home/apt,59,3,59,2019-04-06,0.61,1,9
179640,GREEN OASIS near center & tradefair,860212,Ingrid,,Bogenhausen,48.14574,11.63908,Private room,35,2,203,2019-06-23,2.16,1,266
186596,2-room-flat in central location,910486,Hatice,,Au-Haidhausen,48.12198,11.57644,Shared room,72,1,153,2019-06-10,1.75,1,317
187359,Charming apartment near City Center,901209,Christian,,Neuhausen-Nymphenburg,48.15849,11.54106,Private room,69,2,27,2019-06-07,0.29,1,256
187386,"bedroom, with 2 single beds and tv",901512,Janine,,Berg am Laim,48.12199,11.62761,Private room,59,2,10,2019-05-16,0.11,2,322
189551,Beautiful Attic Floor Dwelling,914449,Peter,,Schwanthalerhöhe,48.1354,11.54618,Entire home/apt,120,3,290,2019-06-09,3.17,1,229
189582,CLASSY APARTMENT in Munich,914564,Christiane,,Bogenhausen,48.15672,11.64901,Private room,19,30,12,2019-02-23,0.15,1,154
189606,"Nice apartment near river ""Isar""",914691,Klaus,,Au-Haidhausen,48.12551,11.58045,Entire home/apt,51,2,117,2019-06-07,1.25,2,260
189905,1 Room Schwabing West,914840,Henning,,Schwabing-West,48.17132,11.56195,Entire home/apt,84,1,6,2019-06-06,0.07,1,88
190383,WOW! direct binding to trade fairs,919644,Christine,,Berg am Laim,48.12452,11.63223,Private room,25,2,142,2019-06-21,1.61,1,167
190453,TRADE FAIR WITHIN WALKING DISTANCE!,919721,Rudolf,,Tudering-Riem,48.13211,11.69417,Entire home/apt,200,3,55,2019-04-14,0.70,1,6
190474,Lovely furnished in Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12935,11.56171,Entire home/apt,180,1,140,2018-09-21,1.56,9,0
190529,Beautiful room Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.13055,11.56096,Private room,50,1,7,2014-07-19,0.08,9,174
190564,Lovely room in Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12891,11.56085,Private room,40,1,12,2016-12-07,0.13,9,174
190565,Beautiful in the Glockenbacharea,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.13013,11.56013,Private room,35,1,70,2018-06-27,0.75,9,174
190653,Pretty and renovated apartment ,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12867,11.5603,Entire home/apt,60,1,141,2019-06-05,1.61,9,287
191327,"Cozy, clean and central guest room",925441,Marcus,,Neuhausen-Nymphenburg,48.14932,11.53615,Private room,45,3,237,2019-06-06,2.51,1,47
191405,Single Apartment in Central Munich,925836,Esther,,Au-Haidhausen,48.12175,11.57879,Entire home/apt,65,2,30,2018-08-17,0.37,1,0
191535,City apartment in running distance to Oktoberfest,926189,Marco,,Sendling,48.11468,11.53897,Private room,444,2,3,2018-10-07,0.33,2,0
191602,Apartment in the center - Glockenbachviertel,926985,Dunni,,Ludwigsvorstadt-Isarvorstadt,48.1273,11.57178,Entire home/apt,57,3,46,2018-12-31,0.50,1,148
191983,Quite and bright two bedroom flat,377734,Jadranka,,Au-Haidhausen,48.12635,11.59948,Private room,60,2,6,2016-11-21,0.17,2,32
192933,Artist's Studio Glockenbach area,934964,Andreas,,Ludwigsvorstadt-Isarvorstadt,48.13012,11.56642,Shared room,70,3,62,2019-06-10,0.66,1,121
193424,Nice apartment with sunny balcony,938363,Moritz,,Schwabing-Freimann,48.15262,11.5846,Entire home/apt,85,2,103,2019-06-19,1.09,1,67
193463,Maxvorstadt --super-central room,938552,Gabriele,,Maxvorstadt,48.15519,11.5715,Private room,47,2,151,2019-06-20,1.73,2,132
193477,Maxvorstadt -- pretty little room,938552,Gabriele,,Maxvorstadt,48.15617,11.56845,Private room,37,2,43,2019-06-03,1.10,2,69
194405,Nähe Ostbahnhof; eigenes Bad,944237,Frauke,,Ramersdorf-Perlach,48.11963,11.60031,Private room,44,4,191,2019-05-19,2.17,1,268
194533,Traumhaftes Ambiente - Neuhausen,944911,Anke,,Neuhausen-Nymphenburg,48.14822,11.5398,Entire home/apt,120,1,48,2019-05-16,0.50,1,345
194638,absolutely centrally located app.,945347,Barbara,,Schwabing-Freimann,48.17105,11.59495,Entire home/apt,120,2,174,2019-05-10,1.84,1,313
195293,Stylish Apartment No.24,949632,Sabine,,Schwabing-West,48.164,11.56706,Private room,45,30,55,2019-05-29,0.66,2,134
195371,Souterrain-Zimmer mit eigenem Bad,949953,Sybille,,Feldmoching-Hasenbergl,48.19444,11.53349,Private room,29,28,2,2019-05-03,0.52,2,197
195388,apartment for 4 people,949998,Ingrid Und Jo,,Ramersdorf-Perlach,48.10141,11.60523,Entire home/apt,75,2,150,2019-06-15,1.59,1,261
195444,Modern room in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12092,11.56138,Private room,65,4,160,2019-06-13,1.70,2,287
195452,DOWNTOWN 1aFlat in ancient building,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.1214,11.55984,Entire home/apt,95,9,12,2018-08-11,0.14,2,169
196127,huge room in the heart of Munich ,954566,Talia,,Ludwigsvorstadt-Isarvorstadt,48.13274,11.57445,Private room,49,4,91,2018-12-27,0.96,1,22
196211,South room in central situation,954971,Anne,,Au-Haidhausen,48.13003,11.59591,Private room,66,1,22,2019-04-09,0.26,2,0
196214,Cozy Room Near Prinzregentenplatz,955009,Karolina,,Bogenhausen,48.14056,11.60339,Private room,55,1,249,2019-06-18,4.14,2,0
196265,Beautiful Apartment with Balcony,14870835,Dominik,,Au-Haidhausen,48.12106,11.57525,Entire home/apt,66,6,59,2019-06-18,0.67,1,238
197197,"Quiet room, own bath + entrance, 20 min to center",961042,Michael,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08941,11.51371,Private room,49,2,224,2019-06-23,2.37,1,102
198942,Charming room for Octoberfest near Michaelipark,971759,Anna C,,Berg am Laim,48.11929,11.64251,Private room,48,2,74,2019-04-21,0.85,2,50
198946,CENTRAL LOCATION - best Haidhausen,971795,Margaux,,Ramersdorf-Perlach,48.12325,11.60263,Entire home/apt,65,3,169,2019-06-20,1.79,1,213
198990,Apartment in front of the castle ,959791,Heidrun,,Neuhausen-Nymphenburg,48.16001,11.51108,Entire home/apt,45,90,8,2019-04-30,0.09,1,169
199066,COMFORTABLE ATTIC FLOOR DWELLING,972246,Cordula,,Untergiesing-Harlaching,48.09099,11.55945,Private room,60,1,276,2019-06-08,2.93,1,0
199139,Private room at Gaertnerplatz,972560,Martina,,Ludwigsvorstadt-Isarvorstadt,48.12987,11.57664,Private room,45,1,50,2019-04-11,0.99,1,345
199189,Ideal for Fair guests,972712,Michael,,Bogenhausen,48.15896,11.64821,Private room,30,1,25,2018-10-29,0.28,2,54
199256,Nice room in super central location,972992,Heide,,Maxvorstadt,48.14992,11.56211,Private room,32,3,183,2019-06-20,2.23,1,257
199797,5 min. close to ENGLISCHER GARTEN,976495,Angela,,Schwabing-Freimann,48.16637,11.59016,Entire home/apt,85,1,36,2019-05-21,0.38,1,286
199840,Cheerful room in beautiful house,976629,Roswitha,,Tudering-Riem,48.1165,11.67824,Private room,49,1,44,2019-04-15,0.51,1,358
199848,Beautiful bright room with  balkony,976655,Maria,,Schwabing-West,48.16687,11.57904,Private room,50,2,31,2019-03-31,0.35,1,209
199850,"Sunny room ideal f Octoberfest, Bauma Intern. fair",971759,Anna C,,Berg am Laim,48.11906,11.64244,Private room,108,2,24,2018-10-10,0.26,2,31
199922,"3-room apartment, centrally located",976981,Hartmut,,Milbertshofen-Am Hart,48.18366,11.56935,Entire home/apt,98,20,18,2018-10-17,0.66,1,242
199940,High quality equipped w/ balcony,977034,Mathias,,Tudering-Riem,48.12368,11.66698,Entire home/apt,250,2,2,2019-04-12,0.02,1,52
200039,Room in central location Haidhausen,977527,Fritz,,Au-Haidhausen,48.13095,11.59531,Private room,50,1,340,2019-06-23,4.09,1,330
200773,Fantastic View-overlooking Munich,982091,Vera,,Neuhausen-Nymphenburg,48.15157,11.53031,Entire home/apt,98,20,61,2018-09-28,0.68,1,217
200782,Happy room for happy responsible  Cohousing,982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12533,11.55284,Private room,35,91,19,2019-05-26,0.20,18,0
200785,"Happy Double, central, green,",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12526,11.55195,Private room,32,58,14,2018-09-21,0.16,18,223
200791,"Happy cosy room, 3 Stops to Center",982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.1259,11.55329,Private room,29,60,16,2018-12-31,0.17,18,202
200795,Beautiful room in central location,982145,Sylvester,,Ludwigsvorstadt-Isarvorstadt,48.12402,11.55202,Private room,28,45,5,2018-08-25,0.06,18,106
200798,Happy Pilgrims  welcome for 39.-,982145,Sylvester,,Neuhausen-Nymphenburg,48.15885,11.54291,Shared room,34,4,6,2019-01-20,0.06,18,75
201099,HISTORICAL LIVING 4 families/indivi,983151,Sabine Petra,,Untergiesing-Harlaching,48.11803,11.57135,Entire home/apt,130,180,4,2018-08-02,0.11,1,274
201628,"Beautiful bright room, 8th Floor (with lift)",986859,Christa,,Hadern,48.1263,11.48136,Private room,46,1,168,2019-06-01,1.78,1,325
201829,Beautiful bright flat with balcony,987643,Evelyn,,Bogenhausen,48.14143,11.65504,Entire home/apt,55,30,5,2017-09-30,0.06,1,201
202055,"10 min to the center, quiet, cosy",988620,Melita,,Neuhausen-Nymphenburg,48.15886,11.54592,Private room,42,3,206,2019-06-18,2.21,2,241
202077,"tiny but fine, 10 min to the center",988620,Melita,,Neuhausen-Nymphenburg,48.15833,11.54158,Private room,39,3,74,2018-07-01,0.78,2,132
202489,Oktoberfest Apt. - near city center,991735,Anja,,Untergiesing-Harlaching,48.10861,11.57255,Entire home/apt,39,2,20,2018-10-03,0.24,6,2
204517,Single room in the basement,1004468,Prisca,,Pasing-Obermenzing,48.15873,11.47384,Private room,45,2,2,2018-04-28,0.06,1,354
204547,"Bright apartment at ""Südpark""",1004621,Eva,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10129,11.50138,Entire home/apt,55,90,24,2019-04-30,0.26,1,207
205381,Luxury apartment at Prinzregentenpl,1009438,Alex,,Bogenhausen,48.13941,11.60918,Entire home/apt,129,1,268,2019-06-10,3.03,10,176
205393,D'Alex Havana,1009438,Alex,,Bogenhausen,48.13944,11.60879,Entire home/apt,64,1,227,2019-06-15,2.67,10,224
205401,Modern apartment Miami in Munich,1009438,Alex,,Bogenhausen,48.1393,11.608,Entire home/apt,79,1,355,2019-06-22,4.01,10,194
205415,Family apartment in best location,1009438,Alex,,Bogenhausen,48.14008,11.6076,Entire home/apt,89,1,323,2019-06-21,3.82,10,179
205431,New York style apartment in Munich,1009438,Alex,,Schwanthalerhöhe,48.13769,11.52991,Entire home/apt,89,1,435,2019-06-18,4.75,10,175
206288,"modern, bright & quiet in Giesing",1014517,Emmanuel,,Obergiesing,48.11013,11.59559,Entire home/apt,75,5,17,2019-05-29,0.20,1,3
207713,Penthouse 10 min Munich City Centre,1022468,John,,Neuhausen-Nymphenburg,48.15075,11.53495,Entire home/apt,79,3,69,2019-06-09,0.79,1,109
207827,Wonderful spacious 2 roomFlat 80sqm,982145,Sylvester,,Neuhausen-Nymphenburg,48.15882,11.54156,Entire home/apt,190,4,0,,,18,0
210348,one nice room in central munich,1037376,Doris,,Ludwigsvorstadt-Isarvorstadt,48.12284,11.56039,Private room,56,2,53,2019-05-17,0.61,2,343
211250,Apartment near Munich Trade Fair,1041289,Anja,,Tudering-Riem,48.12471,11.69745,Entire home/apt,85,3,74,2019-05-17,0.98,1,273
211291,GOOD PRICE - IDEAL LOCATION!,1041701,Renate,,Neuhausen-Nymphenburg,48.14496,11.5411,Entire home/apt,103,1,18,2018-09-30,0.21,1,175
211374,Fairground and swimming lake on foot,1049489,Sonja,,Tudering-Riem,48.13109,11.7016,Private room,52,2,133,2019-06-11,1.48,2,171
211744,München Haar - nearby Munich Fair,1054170,Barbara,,Tudering-Riem,48.11186,11.7104,Private room,45,1,72,2019-05-17,0.83,1,338
212482,Nice Room-10min Walk to Octoberfest,1018498,Karin,,Sendling,48.11932,11.53937,Private room,38,2,71,2019-05-22,0.75,1,264
212517,Charming&modern in downsouth Munich,1095945,Pia Und Kevin,,Sendling-Westpark,48.11822,11.52815,Private room,66,1,11,2019-04-10,0.13,1,365
213497,Charming apartment in central location,1064905,Vi Vadi,,Maxvorstadt,48.14358,11.55868,Entire home/apt,79,1,263,2019-06-16,2.79,2,103
213536,LIVING IN A HOTEL! Cool ap. /prime spot,1064905,Vi Vadi,,Maxvorstadt,48.14241,11.55938,Entire home/apt,76,1,462,2019-06-19,4.89,2,134
213707,"Stylish, Spacious, Top location!",1101476,Nina,,Altstadt-Lehel,48.13107,11.56944,Entire home/apt,260,3,53,2019-06-09,0.56,1,341
216234,Lovely Apartment in prime location,1116327,Oliver,,Neuhausen-Nymphenburg,48.14874,11.50314,Entire home/apt,90,150,10,2019-04-05,0.11,1,0
216240,Pension am Jakobsplatz - Room n°1,1116308,Christoph,,Altstadt-Lehel,48.1344,11.57248,Private room,120,1,1,2019-03-09,0.28,4,17
216241,Pension am Jakobsplatz - Room n°2,1116308,Christoph,,Altstadt-Lehel,48.13655,11.57127,Private room,100,1,2,2019-05-29,0.21,4,16
216256,Pension am Jakobsplatz - Room n°3,1116308,Christoph,,Altstadt-Lehel,48.13645,11.57277,Private room,100,3,10,2019-06-20,7.89,4,0
216259,Pension am Jakobsplatz - Room n°4,1116308,Christoph,,Altstadt-Lehel,48.13513,11.57253,Private room,120,1,2,2019-01-11,0.16,4,24
216449,Attic apartment 3 guests (max. 4),981939,Hans,,Tudering-Riem,48.12752,11.67584,Shared room,250,7,0,,,1,0
216529,"Charming, central, quiet 2.5 room flat Haidhausen",37354,Werner,,Au-Haidhausen,48.13095,11.59341,Entire home/apt,150,5,10,2018-11-12,1.15,1,0
216698,Nice apartment during Oktoberfest,1118456,Julian,,Untergiesing-Harlaching,48.11497,11.56764,Entire home/apt,60,5,44,2018-01-26,0.96,1,0
217148,"ruhiges helles Zi, verkehrsgünstig",949953,Sybille,,Feldmoching-Hasenbergl,48.19444,11.5346,Private room,29,20,57,2019-06-06,0.60,2,64
217313,"Munich, city house + garden near Westpark",1122306,Manfred,,Sendling-Westpark,48.12631,11.51334,Entire home/apt,650,5,13,2018-09-25,0.16,1,279
218080,Modern apartment in Haidhausen,1041175,Jakob,,Au-Haidhausen,48.12552,11.5966,Entire home/apt,65,2,40,2018-11-18,0.87,1,268
218860,nice apartment near fairground,1078978,Sylvia,,Berg am Laim,48.12002,11.64067,Entire home/apt,150,2,30,2019-06-07,0.37,1,271
221635,Dachgaleriewohnung über 3 Ebenen,1305537,Carsten,,Untergiesing-Harlaching,48.11979,11.5714,Private room,54,3,15,2019-03-30,0.22,2,270
221777,"Close to Octoberfest, but quiet!",1133538,Marlies,,Maxvorstadt,48.15154,11.56084,Entire home/apt,81,2,20,2019-04-16,0.29,1,8
222275,comfortable room with gardenview,1153815,Richard,,Untergiesing-Harlaching,48.0871,11.55124,Private room,42,3,12,2015-10-05,0.13,1,313
222572,stylish B&B near centre/10min and Trade Fair/20min,1155889,Roland,,Au-Haidhausen,48.13391,11.60389,Private room,55,2,43,2019-05-17,0.46,1,152
222685,Cosy apartment in the south-west,1042581,Sonnia,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08436,11.49333,Private room,30,3,6,2018-09-19,0.10,1,296
222737,"1.5 rooms, cozy and nicely equipped in Schwabing",1054596,Katja,,Schwabing-West,48.16246,11.57207,Entire home/apt,69,3,7,2018-10-03,0.09,1,140
222924,"Blue Room,1. Floor, Messe Riem",1157644,Eva,,Tudering-Riem,48.10498,11.69839,Private room,40,1,31,2019-05-19,0.33,3,174
223041,1 Room in Munich's South-East,1158541,Siegfried,,Ramersdorf-Perlach,48.08623,11.66085,Private room,59,7,19,2017-11-30,0.23,1,259
224209,"privat room, center of MUC for woman and couples",1166691,Adelheid,,Obergiesing,48.11682,11.5821,Private room,38,3,164,2019-06-04,1.74,1,32
225414,Flat incl. garden in Munich Solln,1174395,Prince,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0792,11.5113,Entire home/apt,65,2,14,2018-12-10,0.19,1,365
225421,Sehr ruhige Wohnung im Gruenen,1174413,Marco,,Untergiesing-Harlaching,48.08117,11.5518,Entire home/apt,60,2,113,2019-06-15,1.20,1,336
226540,Modern 3 Room Apartment in Munich,1011275,Enrico,,Laim,48.13862,11.51153,Entire home/apt,69,2,280,2019-06-04,3.41,2,69
