neighbourhood,average_rent_euro
Allach-Untermenzing,11.155517241379314
Altstadt-Lehel,13.46976744186047
Au-Haidhausen,12.28144385026738
Aubing-Lochhausen-Langwied,11.06509090909091
Berg am Laim,11.527171717171715
Bogenhausen,12.29640522875816
Feldmoching-Hasenbergl,10.095945945945944
Hadern,11.091282051282048
Laim,11.222192982456141
Ludwigsvorstadt-Isarvorstadt,12.628598726114655
Maxvorstadt,12.753733333333333
Milbertshofen-Am Hart,11.047304347826085
Moosach,11.572659574468082
Neuhausen-Nymphenburg,11.82540425531915
Obergiesing,11.067264957264964
Pasing-Obermenzing,12.165535714285715
Ramersdorf-Perlach,10.35229357798165
Schwabing-Freimann,12.544811320754715
Schwabing-West,12.435684210526315
Schwanthalerhöhe,11.518205128205127
Sendling,11.636959999999998
Sendling-Westpark,10.918923076923079
Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,11.522418300653595
Tudering-Riem,12.242435897435898
Untergiesing-Harlaching,11.957014925373134
